REFNumber,X_IMAGE,Y_IMAGE,MAG_ISO,ra,dec,magcal_iso,magcal_iso_rms,magcal_local,magcal_local_rms,ExposureDate,FLUX_ISO,MAG_APER,MAG_AUTO,KRON_RADIUS,BACKGROUND,FLUX_MAX,THETA_J2000,ELLIPTICITY,ISOAREA_WORLD,FWHM_IMAGE,FWHM_WORLD,plate_dist,Blendedmag,limiting_mag_local,magcal_local_error,dradRMS2,magcor_local,extinction,gsc_bin_index,series,plateNumber,NUMBER,versionId,AFLAGS,BFLAGS,ISO0,ISO1,ISO2,ISO3,ISO4,ISO5,ISO6,ISO7,npoints_local,rejectFlag,local_bin_index,seriesId,exposureNumber,solutionNumber,spatial_bin,mosaicNumber,quality,plateVersionId,magdep_bin,magcal_magdep,magcal_magdep_rms,ra_2,dec_2,RaPM,DecPM,A2FLAGS,B2FLAGS,timeAccuracy,maskIndex,isodate,decimalyear
420061551442725,9408.896,7838.853,-11.0363,301.5647910,44.4568690,13.044282,0.242443,12.29,0.19,2425803.502268,25972.9500000,-9.6202,-11.0968,4.01,4118.1530000,1903.7730000,73.70,0.370,0.0000440,4.74,0.0056360,3.8171,0.00,13.761564,0.22209,2.50197,0.029432,0.764,143663284,mb,2388,372540,98,0,1349451776,32,29,26,21,19,9,6,4,123,0,876,23,0,0,1,99,9999,98,2223,12.29,99.00,301.564774,44.457057,-11.6,-10.0,0,0,0.0075,0,1929-07-11 00:03:15.955,1929.5232938849317
420061551442725,13169.681,9414.693,-11.2762,301.5646900,44.4571570,12.932995,0.165587,12.36,0.11,2425823.502640,32396.4900000,-9.4091,-11.3731,4.78,4047.8060000,1476.4150000,7.29,0.165,0.0000620,5.51,0.0065320,5.5821,0.00,14.001982,0.161169,2.614134,0.048695,0.570,143663284,mb,2406,209165,108,0,1349451776,44,42,38,32,25,18,12,7,127,0,1087,23,0,0,2,99,9999,108,1831,12.36,99.00,301.564714,44.45708,-11.6,-10.0,0,0,0.0075,0,1929-07-31 00:03:48.096,1929.5780894246577
420061551442725,13998.869,15621.611,-11.1759,301.5657390,44.4572860,12.939486,0.228358,12.29,0.10,2425824.502651,29537.9000000,-8.8741,-11.5796,5.62,4051.1020000,928.5312000,-64.82,0.460,0.0000650,12.26,0.0144030,8.3570,0.00,13.304376,0.191656,2.970843,0.110608,0.562,143663284,mb,2411,266789,108,0,1349453824,49,46,42,37,28,22,12,7,163,0,1790,23,0,0,5,99,9999,108,1958,12.27,0.15,301.564714,44.45708,-11.6,-10.0,0,0,0.0075,0,1929-08-01 00:03:49.046,1929.5808291808216
420061551442725,16567.150,12165.119,-11.5389,301.5655260,44.4578510,12.630074,0.19473,12.00,0.09,2425828.502687,41263.4900000,-8.8596,-11.7374,4.52,3857.5090000,1250.6850000,-75.35,0.423,0.0001040,11.90,0.0139090,9.3660,0.00,13.332041,0.180512,3.453138,0.094378,0.539,143663284,mb,2417,302810,108,0,1349451776,76,68,57,39,31,21,10,5,65,0,1397,23,0,0,7,99,9999,108,1889,12.00,99.00,301.564714,44.45708,-11.6,-10.0,0,0,0.0075,0,1929-08-05 00:03:52.157,1929.5917881835621
420061551442725,11904.513,18433.127,-11.6294,301.5661850,44.4575530,12.693455,0.208415,12.36,0.20,2425830.725619,44849.2700000,-8.8994,-11.7456,3.50,2387.7980000,1070.3330000,81.77,0.485,0.0000910,13.86,0.0161610,9.5624,0.00,12.362932,0.127442,3.19825,-0.0515,0.416,143663284,mb,2419,552643,143,8192,1349386240,67,61,59,53,44,32,20,5,38,0,2084,23,0,0,6,99,9999,143,2010,12.36,99.00,301.564714,44.45708,-11.6,-10.0,0,0,0.0075,0,1929-08-07 05:24:53.482,1929.597878408219
420061551442725,11174.926,19287.180,-10.0970,301.5685700,44.4565940,12.884306,0.415032,12.54,0.32,2425870.664830,10934.7600000,-7.9438,-10.7512,4.78,2091.6250000,439.3459000,39.87,0.646,0.0000410,9.75,0.0113590,10.2352,0.00,12.765346,0.145422,3.412544,-0.067247,0.456,143663284,mb,2436,290914,143,8192,1349388288,30,29,27,20,14,12,6,2,52,0,2182,23,0,0,7,99,9999,143,2027,12.67,0.17,301.564713,44.457079,-11.6,-10.0,0,0,0.0075,0,1929-09-16 03:57:21.312,1929.70730090411
420061551442725,11776.751,18731.012,-11.6112,301.5648790,44.4583430,12.646487,0.21187,12.28,0.23,2425878.593785,44102.9300000,-8.9009,-11.8200,5.54,1687.4210000,1348.7760000,73.82,0.357,0.0000800,9.45,0.0110120,9.8298,0.00,13.240504,0.191411,4.063623,-0.020793,0.415,143663284,mb,2442,446216,143,0,1349451776,64,58,51,37,30,26,13,4,94,0,2133,23,0,0,6,99,9999,143,2010,12.28,99.00,301.564713,44.457079,-11.6,-10.0,0,0,0.0075,0,1929-09-24 02:15:03.024,1929.7290240684933
420061551442725,16608.277,12367.343,-10.9244,301.5618430,44.4560260,13.062266,0.405231,12.62,0.42,2425879.697919,23430.1800000,-9.1475,-11.4460,4.83,1976.6810000,1381.5010000,47.89,0.183,0.0000350,8.42,0.0098340,9.4976,0.00,12.806344,0.151537,3.298381,-0.078483,0.548,143663284,mb,2446,246780,143,8192,1349386242,26,24,20,17,13,9,4,1,37,0,1447,23,0,0,7,99,9999,143,2303,12.62,99.00,301.564713,44.457079,-11.6,-10.0,0,0,0.0075,0,1929-09-25 04:45:00.202,1929.7320490931504
420061551442725,14213.971,15325.402,-12.2155,301.5653290,44.4570010,12.776813,0.165906,12.43,0.10,2425888.501800,76948.2500000,-9.6074,-12.3525,3.75,4075.8450000,1975.6660000,-44.08,0.220,0.0001060,9.10,0.0106810,8.3233,0.00,14.150827,0.179829,2.513591,-0.043212,0.398,143663284,mb,2450,480931,108,0,1349453826,78,76,64,52,39,29,20,7,274,0,1740,23,0,0,5,99,9999,108,1958,12.36,0.16,301.564713,44.457079,-11.6,-10.0,0,0,0.0075,0,1929-10-04 00:02:35.520,1929.756169315069
